swvl1,swvl2,swvl3,swvl4
0.034432095,0.08895874,0.10118103,0.10154724
0.03441302,0.08895874,0.10118103,0.10154724
0.034400303,0.08895874,0.10118103,0.10154724
0.034379322,0.08895874,0.10118103,0.10154724
0.03435135,0.08895874,0.10118103,0.10154724
0.034323376,0.08895874,0.10118103,0.10154724
0.03429222,0.08895874,0.10118103,0.10154724
0.034204483,0.08895874,0.10118103,0.10154724
0.03418414,0.08895874,0.10118103,0.10154724
0.03416888,0.08895874,0.10118103,0.10154724
0.034140904,0.08895874,0.10118103,0.10154724
0.034122467,0.08895874,0.10118103,0.10154724
0.034103394,0.08895874,0.10118103,0.10154724
0.034088135,0.08895874,0.101167046,0.10154724
0.03400739,0.08895874,0.10116577,0.10154724
0.033985775,0.08895874,0.10116577,0.10154724
0.03397115,0.08895874,0.10116577,0.10154724
0.033966064,0.08895874,0.10116577,0.10154724
0.033955257,0.08895874,0.10116577,0.10154724
0.033950806,0.08895874,0.10116577,0.10154724
0.033943176,0.08895874,0.10116577,0.10154724
0.033935547,0.08895874,0.10116577,0.10154724
0.033935547,0.08895874,0.10116577,0.10154724
0.033935547,0.08895874,0.10116577,0.10154724
0.033920925,0.08895874,0.10116577,0.10154724
0.033920288,0.08895874,0.10116577,0.10154724
0.033908844,0.08895874,0.10116577,0.10154724
0.03390503,0.08895874,0.10116577,0.10154724
0.033866245,0.08895874,0.10116577,0.10154724
0.033859253,0.08895874,0.10116577,0.10154724
0.033848446,0.08895874,0.10116577,0.10154724
0.033843994,0.08895874,0.10116577,0.10154724
0.033830006,0.08895874,0.10116577,0.10154724
0.033804577,0.08895874,0.10116577,0.10154724
0.033786774,0.08895874,0.10116577,0.10154724
0.033773422,0.08895874,0.10116577,0.10154724
0.033756256,0.08895874,0.10116577,0.10154724
0.0337251,0.08895874,0.10116577,0.10154724
0.03370921,0.08895874,0.10116577,0.10154724
0.033686955,0.08895874,0.10117849,0.10154724
0.033665974,0.08895874,0.10118103,0.10154724
0.036749523,0.08895874,0.10118103,0.10154724
0.03942744,0.08894793,0.10118103,0.10154724
0.04302152,0.08894348,0.101167046,0.10154724
0.043762207,0.08894348,0.10116577,0.10154724
0.044359844,0.08894348,0.10116577,0.10154724
0.046676,0.08893585,0.10116577,0.10154724
0.047512054,0.08892822,0.10116577,0.10154724
0.047491074,0.08892822,0.10116577,0.10154724
0.047466915,0.08892822,0.10116577,0.10154724
0.047571182,0.08892822,0.10116577,0.10154724
0.047695797,0.08892822,0.10116577,0.10154724
0.047705334,0.08892822,0.10116577,0.10154724
0.047689438,0.08892822,0.10116577,0.10154724
0.047673542,0.08892822,0.10116577,0.10154724
0.047657013,0.08892822,0.10116577,0.10154724
0.04762586,0.08892822,0.10116577,0.10154724
0.050992966,0.08892822,0.10116577,0.10154724
0.052018482,0.08892822,0.10116577,0.10154724
0.05586815,0.08892822,0.10116577,0.10154724
0.06009801,0.08891996,0.10116577,0.10154724
0.06075414,0.088912964,0.10116577,0.10154724
0.05856641,0.088912964,0.10116577,0.10154724
0.056078594,0.088912964,0.10116577,0.10154724
0.052856445,0.088912964,0.10116577,0.10154724
0.04991722,0.08889898,0.10116577,0.10154724
0.047187805,0.088897705,0.10116577,0.10154724
0.044324875,0.08889135,0.10116577,0.10154724
0.040075302,0.08888245,0.10116577,0.10154724
0.03564517,0.08887418,0.10116577,0.10154724
0.032077152,0.088864006,0.10116577,0.10154724
0.030312857,0.08885193,0.10116577,0.10154724
0.028893152,0.088837944,0.10116577,0.10154724
0.027181625,0.08882586,0.10116577,0.10154724
0.025749207,0.088811874,0.10116577,0.10154724
0.024734497,0.08879725,0.10116577,0.10154724
0.024421692,0.08878199,0.10116577,0.10154724
0.025081,0.08876673,0.10116577,0.10154724
0.02507782,0.08875147,0.10116577,0.10154724
0.024730682,0.088736854,0.10116577,0.10154724
0.024605433,0.088721596,0.10116577,0.10154724
0.029522577,0.08870697,0.10116577,0.10154724
0.035238266,0.08869425,0.10116577,0.10154724
0.040770847,0.08868408,0.10116577,0.10154724
0.044541042,0.08867073,0.10116577,0.10154724
0.043767292,0.08866247,0.101151146,0.10154724
0.040685017,0.08865229,0.10115051,0.10154724
0.037363052,0.088638306,0.10115051,0.10154724
0.034244537,0.08862559,0.10115051,0.10154724
0.031068802,0.088612236,0.10115051,0.10154724
0.028556824,0.08859825,0.10115051,0.10154724
0.026538849,0.088583626,0.10115051,0.10154724
0.024869284,0.08856901,0.10115051,0.10154724
0.027219137,0.08855375,0.10115051,0.10154724
0.027902603,0.08853976,0.10115051,0.10154724
0.026021957,0.08852514,0.10115051,0.10154724
0.028872808,0.08851051,0.10115051,0.10154724
0.032758076,0.08849716,0.10115051,0.10154724
0.029703775,0.08848381,0.10115051,0.10154724
0.03244527,0.08847046,0.10115051,0.10154724
0.038083393,0.08845583,0.10115051,0.10154724
0.037468594,0.08844503,0.10115051,0.10154724
0.033404034,0.088433586,0.10115051,0.10154724
0.029578527,0.088419594,0.10115051,0.10154724
0.027560553,0.08840561,0.10115051,0.10154724
0.025489807,0.088391624,0.10115051,0.10154724
0.02426084,0.088377,0.10115051,0.10154724
0.023765564,0.08836237,0.101145424,0.10154724
0.023475647,0.088347115,0.101135254,0.10154724
0.023204168,0.088331856,0.101135254,0.10154724
0.022892633,0.0883166,0.101135254,0.10154724
0.022666296,0.08830134,0.101135254,0.10154724
0.02254486,0.08828608,0.101135254,0.10154724
0.022352854,0.08827082,0.101135254,0.10154724
0.022076288,0.08825556,0.101135254,0.10154724
0.022528967,0.0882403,0.101135254,0.10154724
0.02857081,0.08822632,0.101135254,0.10154724
0.030265173,0.08821233,0.101135254,0.10154724
0.026122412,0.088199615,0.101135254,0.10154724
0.024110159,0.08818499,0.101135254,0.10154724
0.026342392,0.08817037,0.101135254,0.10154724
0.026066462,0.08815702,0.101135254,0.10154724
0.024966558,0.08814303,0.101135254,0.10154724
0.023925146,0.08812841,0.101135254,0.10154724
0.023417791,0.08811315,0.101135254,0.10154724
0.027584711,0.088098526,0.101135254,0.10154724
0.036227543,0.08808899,0.101135254,0.10154724
0.03267479,0.08807373,0.101135254,0.10154724
0.029010773,0.08806165,0.101135254,0.10154724
0.027240753,0.088048935,0.101135254,0.10154724
0.024934769,0.08803495,0.101135254,0.10154724
0.023731232,0.088020325,0.101135254,0.10154724
0.023792267,0.0880057,0.101135254,0.10154724
0.02790451,0.08799235,0.10113271,0.10154724
0.025552114,0.087979,0.101119995,0.10154724
0.029851913,0.087966286,0.101119995,0.10154724
0.027830124,0.08795166,0.101119995,0.10154724
0.024752298,0.087937675,0.101119995,0.10154724
0.023580551,0.08792368,0.101119995,0.10154724
0.02350553,0.087909065,0.101119995,0.10154724
0.023045858,0.08789444,0.101119995,0.10154724
0.02242724,0.08787918,0.101119995,0.10154724
0.021938324,0.08786392,0.101119995,0.10154724
0.021924337,0.08784866,0.101119995,0.10154724
0.021770477,0.087833405,0.101119995,0.10154724
0.021546045,0.087818146,0.101119995,0.10154724
0.021312078,0.08780289,0.101119995,0.10154724
0.020870844,0.087786995,0.10110792,0.10154724
0.025479635,0.087771736,0.10110474,0.10154724
0.024457932,0.087757744,0.10110474,0.10154724
0.023511251,0.087743126,0.10110474,0.10154724
0.022982279,0.08772787,0.10110474,0.10154724
0.0224425,0.08771324,0.10110474,0.10154724
0.029054642,0.08769798,0.10110474,0.10154724
0.026726404,0.087685265,0.10110474,0.10154724
0.023675919,0.08767065,0.10110474,0.10154724
0.022856394,0.08765602,0.10110474,0.10154724
0.022553762,0.08764076,0.10110474,0.10154724
0.02232933,0.08762614,0.10110474,0.10154724
0.023406347,0.08761152,0.10110474,0.10154724
0.023073832,0.08759626,0.10110474,0.10154724
0.022314707,0.087581,0.10110474,0.10154724
0.021941504,0.08756574,0.10110474,0.10154724
0.021438599,0.08755048,0.10110474,0.10154724
0.023389181,0.087535225,0.10110474,0.10154724
0.032766342,0.08752314,0.10110474,0.10154724
0.025932947,0.087509155,0.10110474,0.10154724
0.02352333,0.08749453,0.10110474,0.10154724
0.02299563,0.08747927,0.10110474,0.10154724
0.022505442,0.08746465,0.10110474,0.10154724
0.05583827,0.08745321,0.10110474,0.10154724
0.039332073,0.08744812,0.10109711,0.10154724
0.027647018,0.08743477,0.10108948,0.10154724
0.023866018,0.087420784,0.10108948,0.10154724
0.02315267,0.08740616,0.10108948,0.10154724
0.022809982,0.08739153,0.10108948,0.10154724
0.023047766,0.087376915,0.10108948,0.10154724
0.022890091,0.08736229,0.10108948,0.10154724
0.022598902,0.087347664,0.10108948,0.10154724
0.028860727,0.087333046,0.10108948,0.10154724
0.030319214,0.087322235,0.10108948,0.10154724
0.10034434,0.08732287,0.10108948,0.10154724
0.18056805,0.087924324,0.10108948,0.10154724
0.278656,0.09814135,0.10108948,0.10154724
0.21243286,0.10305659,0.10108948,0.10154724
0.14991124,0.10382271,0.10108948,0.10154724
0.101167046,0.103878655,0.10108948,0.10154724
0.074622475,0.1038653,0.10108948,0.10154724
0.045420963,0.10384115,0.10108948,0.10154724
0.02742513,0.10380236,0.10108948,0.10154724
0.023773193,0.10375786,0.10108948,0.10154724
0.02359136,0.10371208,0.10108948,0.10154724
0.027487436,0.10366821,0.10108948,0.10154724
0.024442673,0.103624344,0.10108948,0.10154724
0.023358027,0.103580475,0.10108948,0.10154724
0.022637686,0.1035347,0.1010774,0.10154724
0.021775564,0.10348892,0.10107422,0.10154724
0.020992279,0.103443146,0.10107422,0.10154724
0.020205816,0.103396095,0.10107422,0.10154724
0.01946958,0.103349686,0.10107422,0.10154724
